CaseID,Subscription,Component
287,Free,Other
288,Free,Navigation
289,Premium,Authentication
29,Premium,Navigation
290,Premium,Navigation
291,Premium,Other
292,Free,Other
293,Free,Other
294,Free,Other
295,Premium,Other
296,Free,Other
297,Premium,Authentication
298,Premium,Navigation
299,Premium,Authentication
3,Free,Navigation
30,Free,Other
300,Free,Navigation
301,Premium,Navigation
302,Free,Other
303,Free,Other
304,Free,Navigation
305,Free,Other
306,Free,Navigation
307,Free,Navigation
308,Free,Navigation
309,Free,Other
31,Free,Navigation
310,Free,Navigation
311,Premium,Navigation
312,Premium,Authentication
313,Premium,Navigation
314,Premium,Other
315,Premium,Other
316,Free,Navigation
317,Free,Navigation
318,Free,Navigation
319,Free,Navigation
32,Free,Navigation
320,Free,Navigation
321,Free,Other
322,Free,Navigation
323,Premium,Navigation
324,Free,Navigation
325,Free,Other
326,Premium,Navigation
327,Free,Other
328,Free,Other
329,Premium,Authentication
33,Free,Navigation
330,Premium,Authentication
331,Free,Navigation
332,Free,Navigation
333,Premium,Other
334,Free,Checkout
335,Premium,Navigation
336,Free,Navigation
337,Free,Navigation
338,Free,Other
339,Premium,Other
34,Premium,Navigation
340,Free,Navigation
341,Free,Other
342,Free,Other
343,Premium,Navigation
344,Premium,Navigation
345,Free,Authentication
346,Premium,Authentication
347,Free,Other
348,Free,Other
349,Free,Navigation
35,Free,Other
350,Premium,Navigation
351,Free,Navigation
352,Free,Other
353,Free,Other
354,Free,Other
355,Free,Navigation
356,Free,Navigation
357,Free,Other
358,Free,Checkout
359,Free,Other
36,Free,Navigation
360,Free,Other
361,Premium,Other
362,Free,Other
363,Premium,Checkout
364,Free,Other
365,Free,Checkout
366,Premium,Checkout
367,Premium,Other
368,Free,Navigation
369,Free,Navigation
37,Free,Navigation
370,Free,Other
371,Free,Other
372,Premium,Navigation
373,Premium,Other
374,Free,Navigation
375,Premium,Checkout
376,Free,Navigation
377,Free,Navigation
378,Free,Navigation
379,Free,Checkout
38,Free,Other
380,Free,Other
381,Premium,Authentication
382,Free,Other
383,Free,Navigation
384,Free,Navigation
385,Free,Navigation
386,Free,Other
387,Premium,Navigation
388,Free,Navigation
389,Free,Other
39,Free,Other
390,Free,Navigation
391,Free,Other
392,Premium,Other
393,Free,Other
394,Free,Checkout
395,Free,Navigation
396,Free,Navigation
397,Free,Navigation
398,Free,Navigation
399,Free,Checkout
4,Free,Navigation
40,Free,Other
400,Free,Authentication
401,Free,Navigation
402,Free,Navigation
403,Free,Navigation
404,Premium,Authentication
405,Free,Navigation
406,Free,Other
407,Premium,Navigation
408,Premium,Checkout
409,Premium,Navigation
41,Free,Other
410,Premium,Authentication
411,Premium,Navigation
412,Free,Navigation
413,Premium,Navigation
414,Premium,Navigation
415,Free,Other
416,Free,Other
417,Premium,Navigation
418,Free,Other
419,Premium,Other
42,Free,Other
420,Premium,Authentication
421,Free,Other
422,Premium,Other
423,Free,Checkout
424,Premium,Other
425,Free,Navigation
426,Free,Navigation
427,Free,Navigation
428,Free,Navigation
429,Premium,Checkout
43,Free,Navigation
430,Free,Navigation
431,Premium,Other
432,Free,Navigation
433,Premium,Navigation
434,Free,Navigation
435,Free,Checkout
436,Free,Authentication
437,Free,Other
438,Free,Navigation
439,Premium,Navigation
44,Free,Navigation
440,Premium,Other
441,Premium,Authentication
442,Free,Navigation
443,Premium,Authentication
444,Free,Other
445,Free,Navigation
446,Free,Navigation
447,Free,Navigation
448,Free,Navigation
449,Free,Navigation
45,Premium,Checkout
450,Free,Navigation
451,Free,Navigation
452,Premium,Other
453,Free,Navigation
454,Free,Navigation
455,Premium,Navigation
456,Premium,Navigation
457,Free,Navigation
458,Free,Navigation
459,Premium,Navigation
46,Free,Navigation
460,Premium,Other
461,Premium,Other
462,Free,Other
463,Free,Navigation
464,Premium,Navigation
465,Free,Navigation
466,Free,Authentication
467,Free,Other
468,Free,Other
469,Free,Checkout
47,Free,Navigation
470,Free,Other
471,Free,Navigation
472,Premium,Checkout
473,Premium,Authentication
474,Free,Checkout
475,Premium,Other
476,Free,Checkout
477,Free,Other
478,Free,Navigation
479,Premium,Navigation
48,Free,Other
480,Premium,Other
481,Free,Checkout
482,Free,Other
483,Premium,Other
484,Free,Other
485,Premium,Other
486,Free,Checkout
487,Premium,Navigation
488,Premium,Navigation
489,Free,Other
49,Free,Navigation
490,Premium,Checkout
491,Free,Other
492,Free,Checkout
493,Free,Checkout
494,Premium,Other
495,Premium,Navigation
496,Free,Checkout
497,Free,Navigation
498,Premium,Navigation
499,Free,Navigation
5,Free,Navigation
50,Free,Navigation
500,Free,Checkout
501,Free,Checkout
502,Free,Other
503,Free,Navigation
504,Premium,Other
505,Premium,Other
506,Free,Other
507,Premium,Navigation
508,Free,Other
509,Free,Navigation
51,Free,Navigation
510,Free,Navigation
511,Free,Other
512,Premium,Checkout
513,Free,Authentication
514,Premium,Other
515,Premium,Checkout
516,Free,Checkout
517,Free,Other
518,Free,Navigation
519,Free,Authentication
52,Free,Navigation
520,Free,Navigation
521,Free,Other
522,Free,Navigation
523,Free,Other
524,Premium,Navigation
525,Free,Navigation
526,Free,Navigation
527,Premium,Other
528,Premium,Navigation
529,Premium,Other
53,Premium,Navigation
530,Premium,Navigation
531,Free,Other
532,Free,Other
533,Free,Other
534,Free,Other
535,Free,Other
536,Premium,Checkout
537,Free,Navigation
538,Free,Other
539,Free,Navigation
54,Free,Navigation
540,Premium,Checkout
541,Premium,Authentication
542,Premium,Other
543,Free,Other
544,Free,Navigation
545,Free,Navigation
546,Free,Other
547,Free,Navigation
548,Free,Authentication
549,Free,Navigation
55,Free,Navigation
550,Free,Navigation
551,Premium,Authentication
552,Free,Navigation
553,Free,Other
554,Free,Navigation
555,Free,Authentication
556,Free,Navigation
557,Free,Navigation
558,Free,Navigation
559,Free,Navigation
56,Free,Other
560,Free,Authentication
561,Premium,Navigation
562,Premium,Checkout
563,Premium,Authentication
564,Premium,Other
565,Free,Navigation
566,Premium,Other
567,Free,Checkout
568,Free,Navigation
569,Free,Checkout
57,Premium,Other
570,Free,Navigation
571,Free,Other
572,Free,Checkout
573,Free,Checkout
574,Free,Navigation
575,Free,Other
576,Premium,Navigation
577,Premium,Navigation
578,Premium,Checkout
579,Free,Other
58,Free,Navigation
580,Premium,Other
581,Premium,Navigation
582,Free,Checkout
583,Premium,Other
584,Free,Authentication
585,Premium,Checkout
586,Free,Other
587,Premium,Other
588,Free,Navigation
589,Free,Navigation
59,Free,Navigation
590,Free,Navigation
591,Free,Checkout
592,Free,Navigation
593,Free,Checkout
594,Premium,Other
595,Free,Other
596,Free,Navigation
597,Free,Navigation
598,Premium,Authentication
599,Free,Navigation
6,Free,Navigation
60,Free,Other
600,Free,Checkout
601,Free,Navigation
602,Free,Navigation
603,Free,Navigation
604,Free,Checkout
605,Free,Navigation
61,Free,Navigation
62,Free,Navigation
63,Free,Navigation
64,Free,Navigation
65,Free,Checkout
66,Free,Navigation
67,Free,Other
68,Free,Other
69,Free,Navigation
7,Free,Other
70,Premium,Other
71,Premium,Navigation
72,Free,Navigation
73,Premium,Other
74,Free,Other
75,Free,Navigation
76,Premium,Navigation
77,Premium,Navigation
78,Premium,Navigation
79,Free,Other
8,Free,Other
80,Free,Navigation
81,Free,Other
82,Free,Other
83,Free,Other
84,Free,Other
85,Free,Navigation
86,Free,Navigation
87,Free,Navigation
88,Free,Navigation
89,Free,Other
9,Free,Other
90,Free,Navigation
91,Free,Navigation
92,Free,Navigation
93,Free,Navigation
94,Free,Navigation
95,Free,Navigation
96,Premium,Authentication
97,Free,Navigation
98,Free,Navigation
99,Free,Navigation
