CaseID,Activity,StartTimestamp,EndTimestamp
13,arrange standard order,2023-07-08 03:43,2023-07-08 01:38
10,pack B,2023-07-08 03:44,2023-07-08 01:49
8,attempt delivery C,2023-07-08 03:51, 
13,pick from stock C,2023-07-08 03:53,2023-07-08 02:08
14,place order,2023-07-08 03:54,2023-07-08 01:30
14,arrange custom order,2023-07-08 03:56,2023-07-08 01:52
12,manufacture B,2023-07-08 03:59, 
10,attempt delivery C,2023-07-08 04:04, 
15,place order,2023-07-08 04:06,2023-07-08 01:30
15,arrange custom order,2023-07-08 04:08,2023-07-08 01:55
9,pack B,2023-07-08 04:11,2023-07-08 02:28
16,place order,2023-07-08 04:20,2023-07-08 01:30
14,manufacture A,2023-07-08 04:22,2023-07-08 05:52
16,arrange custom order,2023-07-08 04:22,2023-07-08 01:54
11,pack B,2023-07-08 04:23,2023-07-08 02:20
17,place order,2023-07-08 04:32,2023-07-08 01:30
13,pack A,2023-07-08 04:34,2023-07-08 01:40
17,arrange standard order,2023-07-08 04:34,2023-07-08 01:42
15,manufacture B,2023-07-08 04:35, 
9,attempt delivery A,2023-07-08 04:36, 
18,place order,2023-07-08 04:45,2023-07-08 01:30
11,attempt delivery A,2023-07-08 04:47, 
13,attempt delivery B,2023-07-08 04:47, 
18,arrange standard order,2023-07-08 04:47,2023-07-08 01:43
16,manufacture B,2023-07-08 04:48, 
17,pick from stock C,2023-07-08 04:48,2023-07-08 02:08
19,place order,2023-07-08 04:59,2023-07-08 01:30
19,arrange standard order,2023-07-08 05:01,2023-07-08 01:41
18,pick from stock C,2023-07-08 05:02,2023-07-08 02:30
20,place order,2023-07-08 05:14,2023-07-08 01:30
20,arrange standard order,2023-07-08 05:16,2023-07-08 01:38
17,pack C,2023-07-08 05:28,2023-07-08 02:07
19,pick from stock C,2023-07-08 05:28,2023-07-08 02:48
18,pack C,2023-07-08 06:04,2023-07-08 01:53
20,pick from stock C,2023-07-08 06:04,2023-07-08 02:18
17,attempt delivery A,2023-07-08 06:07, 
18,attempt delivery B,2023-07-08 06:29, 
19,pack C,2023-07-08 06:48,2023-07-08 02:13
21,place order,2023-07-08 06:54,2023-07-08 01:30
20,pack C,2023-07-08 06:56,2023-07-08 01:56
1,pack A,2023-07-08 06:56,2023-07-08 01:41
21,arrange custom order,2023-07-08 06:56,2023-07-08 01:51
22,place order,2023-07-08 07:04,2023-07-08 01:30
22,arrange standard order,2023-07-08 07:06,2023-07-08 01:39
4,pack B,2023-07-08 07:07,2023-07-08 06:19
1,attempt delivery C,2023-07-08 07:09, 
23,place order,2023-07-08 07:15,2023-07-08 01:30
22,pick from stock A,2023-07-08 07:17,2023-07-08 01:41
23,arrange standard order,2023-07-08 07:17,2023-07-08 01:42
21,manufacture A,2023-07-08 07:19, 
20,attempt delivery C,2023-07-08 07:24, 
24,place order,2023-07-08 07:26,2023-07-08 01:30
24,arrange custom order,2023-07-08 07:28,2023-07-08 01:54
22,pack B,2023-07-08 07:30,2023-07-08 01:41
23,pick from stock C,2023-07-08 07:31,2023-07-08 02:25
4,attempt delivery B,2023-07-08 07:32, 
19,attempt delivery B,2023-07-08 07:33, 
25,place order,2023-07-08 07:39,2023-07-08 01:30
25,arrange standard order,2023-07-08 07:41,2023-07-08 01:40
22,attempt delivery B,2023-07-08 07:48, 
26,place order,2023-07-08 07:50,2023-07-08 01:30
26,arrange custom order,2023-07-08 07:52,2023-07-08 01:54
25,pick from stock C,2023-07-08 07:53,2023-07-08 02:10
24,manufacture B,2023-07-08 07:54, 
27,place order,2023-07-08 08:02,2023-07-08 01:30
27,arrange standard order,2023-07-08 08:04,2023-07-08 01:38
28,place order,2023-07-08 08:17,2023-07-08 01:30
26,manufacture A,2023-07-08 08:19, 
28,arrange standard order,2023-07-08 08:19,2023-07-08 01:40
23,pack A,2023-07-08 08:28,2023-07-08 01:44
27,pick from stock C,2023-07-08 08:28, 
29,place order,2023-07-08 08:29,2023-07-08 01:30
29,arrange standard order,2023-07-08 08:31,2023-07-08 01:39
25,pack C,2023-07-08 08:35,2023-07-08 02:00
28,pick from stock C,2023-07-08 08:35,2023-07-08 02:01
30,place order,2023-07-08 08:41,2023-07-08 01:30
29,pick from stock B,2023-07-08 08:43,2023-07-08 01:48
30,arrange standard order,2023-07-08 08:43,2023-07-08 01:39
23,attempt delivery A,2023-07-08 08:44, 
14,pack A,2023-07-08 08:46,2023-07-08 01:40
31,place order,2023-07-08 08:54,2023-07-08 01:30
31,arrange custom order,2023-07-08 08:56,2023-07-08 01:52
14,attempt delivery B,2023-07-08 08:58, 
29,pack C,2023-07-08 09:03, 
25,attempt delivery A,2023-07-08 09:07, 
28,pack C,2023-07-08 09:08, 
30,pick from stock C,2023-07-08 09:08, 
32,place order,2023-07-08 09:09,2023-07-08 01:30
32,arrange custom order,2023-07-08 09:11, 
31,manufacture A,2023-07-08 09:20, 
33,place order,2023-07-08 09:21,2023-07-08 01:30
33,arrange custom order,2023-07-08 09:23, 
