CaseID,Activity,StartTimestamp,EndTimestamp
25,place order,320.0,322.0
22,manufacture B,322.0,732.0
25,arrange standard order,322.0,334.0
23,manufacture B,325.0,701.0
26,place order,330.0,332.0
26,arrange custom order,332.0,352.0
25,pick from stock B,334.0,390.0
1,attempt delivery B,336.0,2187.0
24,manufacture A,338.0,584.0
27,place order,340.0,342.0
27,arrange standard order,342.0,353.0
28,place order,350.0,352.0
26,manufacture A,352.0,612.0
28,arrange custom order,352.0,382.0
27,pick from stock A,353.0,386.0
29,place order,360.0,362.0
29,arrange standard order,362.0,374.0
30,place order,370.0,372.0
30,arrange custom order,372.0,399.0
29,pick from stock B,374.0,420.0
31,place order,380.0,382.0
28,manufacture A,382.0,642.0
31,arrange custom order,382.0,408.0
27,pack A,386.0,406.0
32,place order,390.0,392.0
25,pack C,392.0,435.0
32,arrange custom order,392.0,419.0
33,place order,400.0,402.0
33,arrange custom order,402.0,431.0
27,attempt delivery C,406.0,2386.0
34,place order,410.0,412.0
34,arrange standard order,412.0,423.0
4,pack B,416.0,431.0
32,manufacture B,419.0,835.0
35,place order,420.0,422.0
29,pack C,422.0,471.0
35,arrange standard order,422.0,435.0
34,pick from stock B,423.0,461.0
36,place order,430.0,432.0
4,attempt delivery A,432.0,1295.0
36,arrange custom order,432.0,460.0
25,attempt delivery B,435.0,2408.0
35,pick from stock C,435.0,496.0
37,place order,440.0,442.0
37,arrange standard order,442.0,456.0
38,place order,450.0,452.0
38,arrange custom order,452.0,481.0
37,pick from stock A,456.0,466.0
39,place order,460.0,462.0
36,manufacture B,462.0,928.0
34,pack A,462.0,472.0
39,arrange standard order,462.0,476.0
37,pack C,466.0,513.0
40,place order,470.0,472.0
29,attempt delivery B,472.0,2167.0
34,attempt delivery B,472.0,2249.0
40,arrange standard order,472.0,485.0
39,pick from stock B,476.0,533.0
40,pick from stock C,485.0,558.0
35,pack A,496.0,516.0
37,attempt delivery B,513.0,2018.0
12,pack B,515.0,539.0
35,attempt delivery B,516.0,2272.0
39,pack C,533.0,579.0
16,pack A,535.0,550.0
12,attempt delivery C,539.0,2465.0
16,attempt delivery C,550.0,2498.0
40,pack C,558.0,602.0
41,place order,570.0,572.0
41,arrange standard order,572.0,584.0
39,attempt delivery A,579.0,1419.0
42,place order,580.0,582.0
42,arrange custom order,582.0,611.0
24,pack C,584.0,609.0
30,manufacture A,584.0,930.0
41,pick from stock B,584.0,620.0
43,place order,590.0,592.0
43,arrange custom order,592.0,617.0
44,place order,600.0,602.0
40,attempt delivery B,602.0,2491.0
44,arrange custom order,602.0,624.0
21,pack B,609.0,626.0
31,manufacture A,609.0,954.0
24,attempt delivery A,609.0,1402.0
45,place order,610.0,612.0
42,manufacture B,612.0,982.0
26,pack B,612.0,635.0
33,manufacture A,612.0,899.0
45,arrange standard order,612.0,625.0
43,manufacture B,617.0,990.0
46,place order,620.0,622.0
41,pack B,622.0,643.0
46,arrange custom order,622.0,648.0
44,manufacture B,624.0,1090.0
45,pick from stock B,625.0,666.0
21,attempt delivery B,626.0,2084.0
47,place order,630.0,632.0
47,arrange standard order,632.0,642.0
26,attempt delivery B,635.0,2599.0
48,place order,640.0,642.0
28,pack B,642.0,658.0
38,manufacture A,642.0,946.0
47,pick from stock C,642.0,683.0
48,arrange custom order,642.0,672.0
41,attempt delivery A,643.0,1640.0
49,place order,650.0,652.0
49,arrange standard order,652.0,665.0
28,attempt delivery A,658.0,1943.0
50,place order,660.0,662.0
50,arrange custom order,662.0,687.0
49,pick from stock B,665.0,703.0
45,pack C,666.0,696.0
51,place order,670.0,672.0
48,manufacture B,672.0,1080.0
51,arrange standard order,672.0,685.0
52,place order,680.0,682.0
52,arrange custom order,682.0,702.0
47,pack B,683.0,699.0
51,pick from stock C,685.0,721.0
50,manufacture B,687.0,1122.0
53,place order,690.0,692.0
53,arrange standard order,692.0,703.0
45,attempt delivery C,696.0,2783.0
47,attempt delivery C,699.0,2394.0
54,place order,700.0,702.0
23,pack A,702.0,720.0
54,arrange custom order,702.0,731.0
49,pack B,703.0,718.0
53,pick from stock B,703.0,723.0
55,place order,710.0,712.0
55,arrange custom order,712.0,737.0
49,attempt delivery A,718.0,1613.0
56,place order,720.0,722.0
23,attempt delivery B,722.0,2526.0
51,pack A,722.0,740.0
56,arrange custom order,722.0,746.0
53,pack C,723.0,769.0
57,place order,730.0,732.0
22,pack C,732.0,780.0
57,arrange standard order,732.0,743.0
55,manufacture B,737.0,1111.0
58,place order,740.0,742.0
51,attempt delivery B,742.0,2293.0
58,arrange standard order,742.0,756.0
57,pick from stock A,743.0,762.0
56,manufacture B,746.0,1197.0
59,place order,750.0,752.0
59,arrange custom order,752.0,774.0
58,pick from stock A,756.0,770.0
60,place order,760.0,762.0
57,pack A,762.0,782.0
60,arrange standard order,762.0,774.0
53,attempt delivery B,769.0,2864.0
58,pack C,770.0,812.0
60,pick from stock C,774.0,819.0
22,attempt delivery C,780.0,2440.0
57,attempt delivery C,782.0,2576.0
58,attempt delivery B,812.0,2796.0
60,pack C,819.0,854.0
0,order completed,825.0,826.0
32,pack B,835.0,859.0
60,attempt delivery A,854.0,1979.0
32,attempt delivery B,859.0,2811.0
61,place order,860.0,862.0
61,arrange custom order,862.0,884.0
62,place order,870.0,872.0
62,arrange standard order,872.0,886.0
63,place order,880.0,882.0
63,arrange custom order,882.0,902.0
61,manufacture B,884.0,1362.0
62,pick from stock B,886.0,934.0
64,place order,890.0,892.0
64,arrange custom order,892.0,919.0
33,pack C,899.0,936.0
46,manufacture A,899.0,1255.0
65,place order,900.0,902.0
63,manufacture B,902.0,1376.0
65,arrange standard order,902.0,914.0
66,place order,910.0,912.0
66,arrange custom order,912.0,932.0
65,pick from stock A,914.0,925.0
67,place order,920.0,922.0
67,arrange standard order,922.0,933.0
65,pack A,925.0,941.0
36,pack A,928.0,943.0
64,manufacture B,928.0,1403.0
68,place order,930.0,932.0
30,pack C,932.0,976.0
52,manufacture A,932.0,1262.0
68,arrange standard order,932.0,943.0
67,pick from stock A,933.0,970.0
33,attempt delivery B,936.0,2408.0
69,place order,940.0,942.0
65,attempt delivery C,942.0,3111.0
62,pack A,942.0,960.0
69,arrange standard order,942.0,957.0
36,attempt delivery A,943.0,2208.0
68,pick from stock B,943.0,991.0
38,pack B,946.0,968.0
54,manufacture A,946.0,1272.0
70,place order,950.0,952.0
70,arrange custom order,952.0,978.0
31,pack B,954.0,977.0
59,manufacture A,954.0,1313.0
69,pick from stock C,957.0,991.0
71,place order,960.0,962.0
62,attempt delivery B,962.0,2792.0
71,arrange standard order,962.0,973.0
38,attempt delivery A,968.0,1876.0
72,place order,970.0,972.0
67,pack A,972.0,982.0
72,arrange standard order,972.0,984.0
9,order completed,972.0,973.0
71,pick from stock C,973.0,1015.0
30,attempt delivery B,976.0,2730.0
31,attempt delivery B,977.0,2557.0
73,place order,980.0,982.0
42,pack C,982.0,1020.0
66,manufacture B,982.0,1457.0
67,attempt delivery C,982.0,3363.0
73,arrange custom order,982.0,1009.0
74,place order,990.0,992.0
43,pack C,992.0,1041.0
70,manufacture B,992.0,1352.0
68,pack A,992.0,1003.0
69,pack A,992.0,1009.0
72,pick from stock C,992.0,1025.0
74,arrange standard order,992.0,1006.0
75,place order,1000.0,1002.0
75,arrange standard order,1002.0,1012.0
68,attempt delivery A,1003.0,2114.0
74,pick from stock A,1006.0,1040.0
69,attempt delivery C,1009.0,3096.0
76,place order,1010.0,1012.0
75,pick from stock B,1012.0,1066.0
76,arrange custom order,1012.0,1042.0
71,pack A,1015.0,1030.0
77,place order,1020.0,1022.0
42,attempt delivery C,1022.0,3785.0
77,arrange custom order,1022.0,1048.0
72,pack B,1025.0,1050.0
78,place order,1030.0,1032.0
71,attempt delivery A,1032.0,2107.0
78,arrange standard order,1032.0,1043.0
79,place order,1040.0,1042.0
74,pack B,1042.0,1067.0
43,attempt delivery A,1042.0,2450.0
79,arrange custom order,1042.0,1068.0
78,pick from stock B,1043.0,1094.0
80,place order,1050.0,1052.0
72,attempt delivery A,1052.0,1820.0
80,arrange custom order,1052.0,1082.0
75,pack B,1066.0,1095.0
74,attempt delivery C,1067.0,2637.0
48,pack C,1080.0,1124.0
76,manufacture B,1080.0,1486.0
44,pack C,1090.0,1126.0
77,manufacture B,1090.0,1524.0
78,pack B,1094.0,1120.0
75,attempt delivery A,1095.0,2320.0
55,pack A,1111.0,1129.0
80,manufacture B,1111.0,1484.0
78,attempt delivery A,1120.0,2184.0
50,pack A,1122.0,1136.0
48,attempt delivery C,1124.0,2700.0
44,attempt delivery A,1126.0,2232.0
55,attempt delivery A,1129.0,2418.0
50,attempt delivery C,1136.0,2842.0
81,place order,1150.0,1152.0
81,arrange standard order,1152.0,1163.0
82,place order,1160.0,1162.0
82,arrange standard order,1162.0,1174.0
81,pick from stock A,1163.0,1177.0
83,place order,1170.0,1172.0
83,arrange standard order,1172.0,1182.0
82,pick from stock C,1174.0,1213.0
81,pack A,1177.0,1196.0
84,place order,1180.0,1182.0
83,pick from stock A,1182.0,1205.0
84,arrange standard order,1182.0,1197.0
6,order completed,1182.0,1183.0
85,place order,1190.0,1192.0
85,arrange standard order,1192.0,1203.0
81,attempt delivery B,1196.0,3092.0
56,pack B,1197.0,1218.0
84,pick from stock B,1197.0,1235.0
86,place order,1200.0,1202.0
86,arrange custom order,1202.0,1229.0
85,pick from stock A,1203.0,1215.0
83,pack B,1205.0,1225.0
87,place order,1210.0,1212.0
87,arrange standard order,1212.0,1226.0
82,pack A,1213.0,1229.0
85,pack C,1215.0,1257.0
56,attempt delivery C,1218.0,3196.0
88,place order,1220.0,1222.0
88,arrange standard order,1222.0,1234.0
83,attempt delivery C,1225.0,2885.0
87,pick from stock C,1226.0,1279.0
86,manufacture B,1229.0,1644.0
82,attempt delivery A,1229.0,2178.0
89,place order,1230.0,1232.0
89,arrange custom order,1232.0,1262.0
88,pick from stock B,1234.0,1264.0
84,pack C,1235.0,1275.0
90,place order,1240.0,1242.0
90,arrange custom order,1242.0,1267.0
91,place order,1250.0,1252.0
91,arrange standard order,1252.0,1262.0
46,pack C,1255.0,1303.0
73,manufacture A,1255.0,1504.0
85,attempt delivery A,1257.0,2164.0
92,place order,1260.0,1262.0
52,pack A,1262.0,1272.0
79,manufacture A,1262.0,1616.0
91,pick from stock C,1262.0,1302.0
92,arrange standard order,1262.0,1272.0
88,pack B,1264.0,1285.0
93,place order,1270.0,1272.0
54,pack C,1272.0,1307.0
89,manufacture A,1272.0,1575.0
52,attempt delivery A,1272.0,2503.0
92,pick from stock A,1272.0,1282.0
93,arrange custom order,1272.0,1300.0
84,attempt delivery B,1275.0,3274.0
87,pack B,1279.0,1303.0
94,place order,1280.0,1282.0
92,pack C,1282.0,1313.0
94,arrange custom order,1282.0,1307.0
88,attempt delivery C,1285.0,2947.0
95,place order,1290.0,1292.0
95,arrange standard order,1292.0,1306.0
4,order completed,1295.0,1296.0
96,place order,1300.0,1302.0
91,pack B,1302.0,1324.0
96,arrange custom order,1302.0,1327.0
46,attempt delivery B,1303.0,3131.0
87,attempt delivery C,1303.0,3520.0
95,pick from stock B,1306.0,1331.0
54,attempt delivery B,1307.0,3248.0
97,place order,1310.0,1312.0
97,arrange standard order,1312.0,1326.0
59,pack B,1313.0,1338.0
90,manufacture A,1313.0,1608.0
92,attempt delivery B,1313.0,3429.0
98,place order,1320.0,1322.0
98,arrange standard order,1322.0,1332.0
91,attempt delivery A,1324.0,2228.0
97,pick from stock A,1326.0,1340.0
96,manufacture B,1327.0,1800.0
99,place order,1330.0,1332.0
95,pack A,1332.0,1346.0
98,pick from stock B,1332.0,1377.0
99,arrange custom order,1332.0,1360.0
59,attempt delivery C,1338.0,4055.0
100,place order,1340.0,1342.0
97,pack C,1342.0,1375.0
100,arrange standard order,1342.0,1356.0
95,attempt delivery B,1346.0,3106.0
70,pack C,1352.0,1391.0
100,pick from stock B,1356.0,1411.0
61,pack A,1362.0,1379.0
97,attempt delivery C,1375.0,2957.0
63,pack A,1376.0,1389.0
98,pack B,1377.0,1404.0
61,attempt delivery B,1379.0,3474.0
63,attempt delivery C,1389.0,3795.0
70,attempt delivery A,1391.0,2757.0
24,order completed,1402.0,1403.0
64,pack B,1403.0,1429.0
98,attempt delivery A,1404.0,2763.0
100,pack B,1411.0,1440.0
39,order completed,1419.0,1420.0
64,attempt delivery A,1429.0,2503.0
101,place order,1440.0,1442.0
100,attempt delivery A,1442.0,2778.0
101,arrange standard order,1442.0,1452.0
102,place order,1450.0,1452.0
101,pick from stock A,1452.0,1484.0
102,arrange standard order,1452.0,1465.0
66,pack C,1457.0,1493.0
103,place order,1460.0,1462.0
103,arrange standard order,1462.0,1477.0
102,pick from stock B,1465.0,1492.0
104,place order,1470.0,1472.0
104,arrange custom order,1472.0,1496.0
103,pick from stock C,1477.0,1535.0
105,place order,1480.0,1482.0
105,arrange custom order,1482.0,1508.0
80,pack B,1484.0,1504.0
101,pack C,1484.0,1533.0
76,pack A,1486.0,1503.0
8,order completed,1486.0,1487.0
106,place order,1490.0,1492.0
102,pack B,1492.0,1515.0
106,arrange standard order,1492.0,1507.0
66,attempt delivery A,1493.0,2616.0
107,place order,1500.0,1502.0
107,arrange custom order,1502.0,1524.0
76,attempt delivery A,1503.0,2574.0
73,pack A,1504.0,1518.0
93,manufacture A,1504.0,1785.0
80,attempt delivery C,1504.0,3730.0
106,pick from stock C,1507.0,1557.0
108,place order,1510.0,1512.0
108,arrange custom order,1512.0,1542.0
102,attempt delivery A,1515.0,2810.0
73,attempt delivery C,1518.0,3583.0
109,place order,1520.0,1522.0
109,arrange standard order,1522.0,1533.0
77,pack A,1524.0,1537.0
110,place order,1530.0,1532.0
110,arrange standard order,1532.0,1547.0
101,attempt delivery C,1533.0,3246.0
103,pack B,1535.0,1564.0
109,pick from stock C,1535.0,1615.0
111,place order,1540.0,1542.0
108,manufacture B,1542.0,2000.0
111,arrange custom order,1542.0,1568.0
112,place order,1550.0,1552.0
112,arrange standard order,1552.0,1564.0
106,pack C,1557.0,1583.0
110,pick from stock C,1557.0,1634.0
113,place order,1560.0,1562.0
113,arrange standard order,1562.0,1575.0
103,attempt delivery C,1564.0,4411.0
111,manufacture B,1568.0,1948.0
114,place order,1570.0,1572.0
114,arrange custom order,1572.0,1595.0
89,pack A,1575.0,1593.0
94,manufacture A,1575.0,1826.0
113,pick from stock A,1575.0,1604.0
115,place order,1580.0,1582.0
115,arrange standard order,1582.0,1597.0
116,place order,1590.0,1592.0
116,arrange custom order,1592.0,1622.0
114,manufacture B,1595.0,2032.0
117,place order,1600.0,1602.0
117,arrange standard order,1602.0,1616.0
113,pack B,1604.0,1625.0
90,pack B,1608.0,1631.0
99,manufacture A,1608.0,1931.0
118,place order,1610.0,1612.0
118,arrange standard order,1612.0,1627.0
49,order completed,1613.0,1614.0
77,attempt delivery A,1613.0,2790.0
109,pack B,1615.0,1639.0
112,pick from stock C,1615.0,1666.0
79,pack A,1616.0,1634.0
104,manufacture A,1616.0,1940.0
119,place order,1620.0,1622.0
119,arrange standard order,1622.0,1633.0
118,pick from stock A,1627.0,1649.0
120,place order,1630.0,1632.0
90,attempt delivery B,1632.0,3521.0
120,arrange custom order,1632.0,1653.0
110,pack A,1634.0,1653.0
115,pick from stock C,1634.0,1708.0
79,attempt delivery C,1634.0,3274.0
109,attempt delivery B,1639.0,3671.0
41,order completed,1640.0,1641.0
106,attempt delivery A,1640.0,2599.0
86,pack A,1644.0,1654.0
118,pack B,1649.0,1672.0
120,manufacture B,1653.0,2057.0
110,attempt delivery C,1653.0,3433.0
86,attempt delivery C,1654.0,3736.0
112,pack B,1666.0,1682.0
117,pick from stock C,1666.0,1714.0
118,attempt delivery B,1672.0,3685.0
112,attempt delivery C,1682.0,3582.0
115,pack B,1708.0,1726.0
119,pick from stock C,1708.0,1770.0
117,pack B,1714.0,1744.0
115,attempt delivery C,1726.0,4325.0
121,place order,1730.0,1732.0
121,arrange custom order,1732.0,1762.0
122,place order,1740.0,1742.0
122,arrange standard order,1742.0,1755.0
117,attempt delivery C,1744.0,4555.0
123,place order,1750.0,1752.0
123,arrange custom order,1752.0,1773.0
122,pick from stock A,1755.0,1774.0
124,place order,1760.0,1762.0
124,arrange standard order,1762.0,1774.0
15,order completed,1764.0,1765.0
125,place order,1770.0,1772.0
119,pack B,1772.0,1801.0
125,arrange standard order,1772.0,1783.0
3,order completed,1772.0,1773.0
123,manufacture B,1773.0,2216.0
122,pack A,1774.0,1784.0
124,pick from stock B,1774.0,1823.0
126,place order,1780.0,1782.0
126,arrange standard order,1782.0,1793.0
125,pick from stock C,1783.0,1830.0
122,attempt delivery C,1784.0,3646.0
93,pack C,1785.0,1824.0
105,manufacture A,1785.0,2106.0
127,place order,1790.0,1792.0
127,arrange custom order,1792.0,1815.0
126,pick from stock C,1793.0,1844.0
128,place order,1800.0,1802.0
96,pack B,1802.0,1821.0
128,arrange custom order,1802.0,1824.0
129,place order,1810.0,1812.0
129,arrange standard order,1812.0,1826.0
127,manufacture B,1815.0,2211.0
130,place order,1820.0,1822.0
89,attempt delivery A,1822.0,3152.0
130,arrange standard order,1822.0,1836.0
72,order completed,1822.0,1823.0
124,pack A,1823.0,1834.0
93,attempt delivery B,1824.0,3344.0
128,manufacture B,1824.0,2281.0
94,pack B,1826.0,1853.0
107,manufacture A,1826.0,2129.0
129,pick from stock B,1826.0,1862.0
131,place order,1830.0,1832.0
125,pack C,1832.0,1873.0
131,arrange standard order,1832.0,1843.0
124,attempt delivery B,1834.0,3420.0
130,pick from stock C,1836.0,1894.0
132,place order,1840.0,1842.0
132,arrange custom order,1842.0,1870.0
131,pick from stock A,1843.0,1868.0
126,pack B,1844.0,1869.0
18,order completed,1846.0,1847.0
133,place order,1850.0,1852.0
133,arrange custom order,1852.0,1876.0
94,attempt delivery B,1853.0,3546.0
134,place order,1860.0,1862.0
129,pack A,1862.0,1872.0
134,arrange standard order,1862.0,1872.0
13,order completed,1867.0,1868.0
131,pack B,1868.0,1895.0
126,attempt delivery C,1869.0,4351.0
135,place order,1870.0,1872.0
129,attempt delivery B,1872.0,3920.0
134,pick from stock B,1872.0,1916.0
135,arrange standard order,1872.0,1886.0
125,attempt delivery C,1873.0,3802.0
113,attempt delivery A,1876.0,3064.0
133,manufacture B,1876.0,2300.0
38,order completed,1876.0,1877.0
136,place order,1880.0,1882.0
136,arrange standard order,1882.0,1892.0
135,pick from stock A,1886.0,1914.0
137,place order,1890.0,1892.0
136,pick from stock A,1892.0,1932.0
137,arrange custom order,1892.0,1915.0
130,pack C,1894.0,1936.0
131,attempt delivery B,1895.0,3851.0
138,place order,1900.0,1902.0
138,arrange standard order,1902.0,1916.0
139,place order,1910.0,1912.0
139,arrange custom order,1912.0,1942.0
135,pack C,1914.0,1963.0
134,pack C,1916.0,1949.0
138,pick from stock C,1916.0,1975.0
140,place order,1920.0,1922.0
140,arrange custom order,1922.0,1946.0
116,manufacture A,1931.0,2229.0
136,pack A,1932.0,1943.0
130,attempt delivery C,1936.0,3833.0
99,pack C,1936.0,1970.0
104,pack A,1940.0,1955.0
121,manufacture A,1940.0,2257.0
119,attempt delivery A,1943.0,2809.0
136,attempt delivery B,1943.0,3473.0
17,order completed,1943.0,1944.0
28,order completed,1944.0,1945.0
140,manufacture B,1946.0,2346.0
111,pack A,1948.0,1962.0
134,attempt delivery C,1949.0,3499.0
111,attempt delivery C,1962.0,4608.0
138,pack B,1975.0,2003.0
60,order completed,1979.0,1980.0
96,attempt delivery A,1979.0,2887.0
108,pack B,2000.0,2028.0
138,attempt delivery C,2003.0,4017.0
37,order completed,2018.0,2019.0
104,attempt delivery B,2018.0,3616.0
141,place order,2020.0,2022.0
141,arrange custom order,2022.0,2048.0
108,attempt delivery C,2028.0,4220.0
142,place order,2030.0,2032.0
114,pack C,2032.0,2062.0
142,arrange custom order,2032.0,2059.0
143,place order,2040.0,2042.0
143,arrange custom order,2042.0,2065.0
144,place order,2050.0,2052.0
144,arrange standard order,2052.0,2065.0
120,pack C,2057.0,2089.0
145,place order,2060.0,2062.0
145,arrange custom order,2062.0,2085.0
143,manufacture B,2065.0,2522.0
144,pick from stock B,2065.0,2103.0
20,order completed,2068.0,2069.0
146,place order,2070.0,2072.0
146,arrange standard order,2072.0,2082.0
14,order completed,2077.0,2078.0
147,place order,2080.0,2082.0
146,pick from stock C,2082.0,2159.0
147,arrange custom order,2082.0,2111.0
21,order completed,2084.0,2085.0
120,attempt delivery C,2089.0,4167.0
148,place order,2090.0,2092.0
148,arrange standard order,2092.0,2105.0
149,place order,2100.0,2102.0
149,arrange custom order,2102.0,2122.0
144,pack C,2103.0,2137.0
148,pick from stock B,2105.0,2162.0
105,pack B,2106.0,2129.0
132,manufacture A,2106.0,2453.0
71,order completed,2107.0,2108.0
135,attempt delivery A,2107.0,2951.0
150,place order,2110.0,2112.0
150,arrange custom order,2112.0,2137.0
68,order completed,2114.0,2115.0
99,attempt delivery A,2114.0,3514.0
151,place order,2120.0,2122.0
151,arrange standard order,2122.0,2134.0
10,order completed,2122.0,2123.0
107,pack B,2129.0,2150.0
137,manufacture A,2129.0,2403.0
105,attempt delivery C,2129.0,4921.0
152,place order,2130.0,2132.0
152,arrange standard order,2132.0,2144.0
151,pick from stock A,2134.0,2161.0
150,manufacture B,2137.0,2504.0
153,place order,2140.0,2142.0
153,arrange custom order,2142.0,2165.0
152,pick from stock B,2144.0,2191.0
154,place order,2150.0,2152.0
154,arrange standard order,2152.0,2162.0
146,pack C,2159.0,2208.0
155,place order,2160.0,2162.0
151,pack C,2162.0,2206.0
148,pack B,2162.0,2181.0
154,pick from stock B,2162.0,2205.0
155,arrange custom order,2162.0,2191.0
85,order completed,2164.0,2165.0
114,attempt delivery A,2164.0,3363.0
153,manufacture B,2165.0,2554.0
29,order completed,2167.0,2168.0
156,place order,2170.0,2172.0
156,arrange standard order,2172.0,2186.0
7,order completed,2172.0,2173.0
82,order completed,2178.0,2179.0
144,attempt delivery A,2178.0,3059.0
157,place order,2180.0,2182.0
148,attempt delivery C,2182.0,4011.0
157,arrange custom order,2182.0,2211.0
78,order completed,2184.0,2185.0
107,attempt delivery A,2184.0,3266.0
1,order completed,2187.0,2188.0
158,place order,2190.0,2192.0
152,pack A,2192.0,2211.0
156,pick from stock B,2192.0,2245.0
155,manufacture B,2192.0,2635.0
158,arrange custom order,2192.0,2216.0
159,place order,2200.0,2202.0
159,arrange standard order,2202.0,2216.0
154,pack B,2205.0,2228.0
151,attempt delivery A,2208.0,2958.0
146,attempt delivery B,2208.0,4321.0
36,order completed,2208.0,2209.0
160,place order,2210.0,2212.0
127,pack C,2212.0,2252.0
157,manufacture B,2212.0,2651.0
152,attempt delivery B,2212.0,3688.0
160,arrange standard order,2212.0,2226.0
123,pack A,2216.0,2231.0
158,manufacture B,2216.0,2604.0
159,pick from stock B,2216.0,2248.0
19,order completed,2227.0,2228.0
154,attempt delivery B,2228.0,4258.0
91,order completed,2228.0,2229.0
116,pack B,2229.0,2258.0
139,manufacture A,2229.0,2578.0
123,attempt delivery A,2231.0,3569.0
44,order completed,2232.0,2233.0
156,pack A,2245.0,2260.0
160,pick from stock B,2245.0,2296.0
159,pack B,2248.0,2268.0
34,order completed,2249.0,2250.0
127,attempt delivery C,2252.0,4614.0
121,pack A,2257.0,2268.0
141,manufacture A,2257.0,2603.0
156,attempt delivery B,2260.0,4197.0
159,attempt delivery A,2268.0,3528.0
35,order completed,2272.0,2273.0
128,pack B,2281.0,2308.0
11,order completed,2291.0,2292.0
51,order completed,2293.0,2294.0
160,pack B,2296.0,2312.0
133,pack C,2300.0,2350.0
161,place order,2310.0,2312.0
161,arrange standard order,2312.0,2324.0
162,place order,2320.0,2322.0
121,attempt delivery A,2322.0,3256.0
162,arrange standard order,2322.0,2333.0
75,order completed,2322.0,2323.0
161,pick from stock B,2324.0,2375.0
163,place order,2330.0,2332.0
163,arrange custom order,2332.0,2353.0
162,pick from stock B,2333.0,2371.0
164,place order,2340.0,2342.0
164,arrange custom order,2342.0,2366.0
140,pack C,2346.0,2384.0
165,place order,2350.0,2352.0
165,arrange standard order,2352.0,2366.0
163,manufacture B,2353.0,2825.0
166,place order,2360.0,2362.0
166,arrange custom order,2362.0,2391.0
164,manufacture B,2366.0,2789.0
167,place order,2370.0,2372.0
162,pack C,2372.0,2406.0
